Degree,Specialization,Critical Thinking,Analytical Reasoning,Problem Solving,Logical Reasoning,Research Skills,Data Interpretation,Quantitative Analysis,Decision Making,Creativity & Innovation,Strategic Thinking,Written Communication,Verbal Communication,Presentation Skills,Public Speaking,Negotiation,Teamwork,Cross-Cultural Communication,Interpersonal Skills,Conflict Resolution,Emotional Intelligence,Self-Learning,Adaptability,Curiosity,Growth Mindset,Time Management,Attention to Detail,Organization Skills,Resilience,Self-Motivation,Business Management,Economics,Psychology,Sociology,Political Science,Environmental Studies,Biology,Chemistry,Physics,Mathematics,Computer Literacy,Statistics,Finance & Accounting,Marketing & Branding,Human Resource Management,Digital Literacy,Sustainability Awareness,Global Awareness,Leadership,Project Management,Ethical Reasoning,Social Responsibility,Cultural Awareness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Degree,Specialization,Critical Thinking,Analytical Reasoning,Problem Solving,Logical Reasoning,Research Skills,Data Interpretation,Quantitative Analysis,Decision Making,Creativity & Innovation,Strategic Thinking,Written Communication,Verbal Communication,Presentation Skills,Public Speaking,Negotiation,Teamwork,Cross-Cultural Communication,Interpersonal Skills,Conflict Resolution,Emotional Intelligence,Self-Learning,Adaptability,Curiosity,Growth Mindset,Time Management,Attention to Detail,Organization Skills,Resilience,Self-Motivation,Business Management,Economics,Psychology,Sociology,Political Science,Environmental Studies,Biology,Chemistry,Physics,Mathematics,Computer Literacy,Statistics,Finance & Accounting,Marketing & Branding,Human Resource Management,Digital Literacy,Sustainability Awareness,Global Awareness,Leadership,Project Management,Ethical Reasoning,Social Responsibility,Cultural Awareness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor of Science in Nursing,Nursing,0.0237,0.0237,0.0237,0.02133,0.02133,0.01896,0.01669,0.0237,0.01185,0.01422,0.02133,0.0237,0.02133,0.01669,0.01422,0.02844,0.02133,0.03081,0.02607,0.02844,0.02607,0.02607,0.0237,0.0237,0.0237,0.03081,0.02607,0.02844,0.02844,0.00711,0.00474,0.01896,0.01669,0.00474,0.00948,0.02844,0.02133,0.00474,0.00711,0.01896,0.01422,0.00474,0.00237,0.00474,0.02133,0.01185,0.01185,0.01669,0.01896,0.03081,0.03081,0.02607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Nursing and Midwifery,GNM,0.0237,0.0237,0.0237,0.02133,0.02133,0.01896,0.01669,0.0237,0.01185,0.01422,0.02133,0.0237,0.02133,0.01669,0.01422,0.02844,0.02133,0.03081,0.02607,0.02844,0.02607,0.02607,0.0237,0.0237,0.0237,0.03081,0.02607,0.02844,0.02844,0.00711,0.00474,0.01896,0.01669,0.00474,0.00948,0.02844,0.02133,0.00474,0.00711,0.01896,0.01422,0.00474,0.00237,0.00474,0.02133,0.01185,0.01185,0.01669,0.01896,0.03081,0.03081,0.02607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor of Engineering,Computer Science And Engineering,0.02907,0.02907,0.03198,0.03198,0.02326,0.02326,0.02616,0.02616,0.02326,0.01744,0.02035,0.02035,0.01744,0.01453,0.01163,0.02616,0.01744,0.02326,0.02035,0.02035,0.03198,0.02907,0.02907,0.02907,0.02907,0.03198,0.02907,0.02907,0.03198,0.00872,0.00581,0.00291,0.00291,0.00291,0.00291,0.00291,0.00291,0.00581,0.03198,0.03198,0.02035,0.00581,0.00291,0.00581,0.03198,0.01163,0.01453,0.01744,0.02326,0.02616,0.01744,0.01453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor of Engineering,Aeronautical Engineering,0.03064,0.03064,0.03064,0.03064,0.02758,0.02473,0.03064,0.02758,0.01923,0.02473,0.01923,0.01923,0.01648,0.01374,0.01374,0.02747,0.01648,0.01923,0.01648,0.01648,0.02747,0.02747,0.02747,0.02747,0.02747,0.03064,0.02747,0.02747,0.03064,0.00549,0.00549,0.00275,0.00275,0.00275,0.00824,0.00275,0.00549,0.02747,0.03064,0.02473,0.02198,0.00275,0.00275,0.00275,0.02198,0.01648,0.01648,0.01923,0.02473,0.02473,0.01923,0.01648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor of Engineering,Electronics and Communication Engineering,0.02849,0.02849,0.03134,0.02849,0.02564,0.02279,0.02849,0.02849,0.01994,0.02279,0.02014,0.01994,0.01709,0.01424,0.01139,0.02564,0.01709,0.02279,0.01709,0.01709,0.02849,0.02849,0.02849,0.02849,0.02849,0.03134,0.02849,0.02849,0.03134,0.00855,0.0057,0.00285,0.00285,0.00285,0.00285,0.00285,0.0057,0.01994,0.02279,0.02849,0.02279,0.0057,0.00285,0.00285,0.02849,0.01139,0.01139,0.01709,0.02279,0.02564,0.01994,0.01709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor of Engineering,Agricultural Engineering,0.02641,0.02641,0.02971,0.02311,0.02641,0.02311,0.02641,0.02641,0.01981,0.01981,0.01981,0.01981,0.0165,0.01321,0.01321,0.02641,0.01981,0.02311,0.01981,0.01981,0.02641,0.02641,0.02641,0.02641,0.02641,0.02971,0.02641,0.02641,0.02641,0.01321,0.0099,0.0066,0.0066,0.0033,0.02971,0.02641,0.02311,0.01321,0.02311,0.02311,0.01981,0.0066,0.0033,0.0033,0.02311,0.02311,0.01321,0.01981,0.02311,0.02641,0.02311,0.01981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor of Engineering,Mechanical Engineering,0.03064,0.03064,0.0337,0.03064,0.02473,0.01923,0.03064,0.03064,0.02198,0.02198,0.01923,0.01923,0.01648,0.01374,0.01374,0.02747,0.01648,0.01923,0.01648,0.01648,0.02747,0.02747,0.02747,0.02747,0.02747,0.0337,0.03064,0.03064,0.0337,0.01099,0.00824,0.00275,0.00275,0.00275,0.00824,0.00275,0.00549,0.02747,0.03064,0.02473,0.01923,0.00549,0.00275,0.00275,0.02198,0.01648,0.01374,0.01923,0.02473,0.02747,0.01923,0.01648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diploma,Interior Design,0.02239,0.0199,0.02488,0.01741,0.01741,0.01493,0.01244,0.02239,0.03483,0.02239,0.02488,0.02488,0.02488,0.0199,0.01741,0.02736,0.02239,0.02985,0.02239,0.02488,0.02488,0.02239,0.02488,0.02488,0.02488,0.03234,0.02985,0.02736,0.02736,0.01493,0.00746,0.00995,0.00746,0.00249,0.00995,0.00249,0.00249,0.00249,0.00498,0.02736,0.01244,0.00746,0.01244,0.00995,0.02985,0.01741,0.01493,0.0199,0.02488,0.0199,0.01741,0.0199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diploma,Graphic Design and UI / UX,0.02685,0.02685,0.02953,0.02416,0.02148,0.02148,0.01879,0.02416,0.03221,0.02148,0.02416,0.02416,0.02148,0.01611,0.01342,0.02685,0.01879,0.02416,0.01879,0.02148,0.02953,0.02685,0.02953,0.02953,0.02685,0.02953,0.02685,0.02685,0.02953,0.00805,0.00537,0.01074,0.00537,0.00268,0.00268,0.00268,0.00268,0.00268,0.02953,0.02685,0.01879,0.00805,0.00537,0.00805,0.02953,0.00805,0.01074,0.01879,0.02416,0.02685,0.01879,0.01611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
